filename,width,height,class,xmin,ymin,xmax,ymax
351.jpg,128,128,Carcinoma,45,39,76,84
347.jpg,128,128,Carcinoma,27,31,114,107
1087.jpg,128,128,Chickenpox,16,110,27,122
1087.jpg,128,128,Chickenpox,66,66,79,79
1087.jpg,128,128,Chickenpox,85,34,97,43
1087.jpg,128,128,Chickenpox,45,31,55,45
1275.jpg,128,128,Nail Fungal Infection,35,12,100,69
1477.jpg,128,128,Hives,14,19,120,104
1671.jpg,128,128,Measles,31,24,116,108
1811.jpg,128,128,Melanoma,4,20,116,115
2062.jpg,128,128,Melanoma,66,29,89,69
2062.jpg,128,128,Melanoma,38,69,51,87
2315.jpg,128,128,Pyoderma Gangrenosum,1,1,123,115
1188.jpg,128,128,Cold Sore,46,47,86,79
513.jpg,128,128,Carcinoma,36,50,88,75
2419.jpg,128,128,Squamous Carcinoma,22,19,91,82
2396.jpg,128,128,Pyoderma Gangrenosum,14,11,89,110
1418.jpg,128,128,Hives,50,49,126,119
1607.jpg,128,128,Impetigo,6,32,42,89
1607.jpg,128,128,Impetigo,76,82,106,126
1607.jpg,128,128,Impetigo,52,49,96,82
2465.jpg,128,128,Wart,63,56,93,86
1339.jpg,128,128,Herpes Virus,12,15,98,70
950.jpg,128,128,Chickenpox,54,74,111,120
950.jpg,128,128,Chickenpox,33,54,56,73
950.jpg,128,128,Chickenpox,34,3,67,41
950.jpg,128,128,Chickenpox,91,18,122,55
1765.jpg,128,128,Measles,5,16,114,82
1765.jpg,128,128,Measles,13,89,55,123
1765.jpg,128,128,Measles,83,87,119,121
566.jpeg,128,128,Bowen,35,49,53,84
566.jpeg,128,128,Bowen,84,75,106,101
566.jpeg,128,128,Bowen,1,69,33,109
566.jpeg,128,128,Bowen,3,21,25,57
1909.jpg,128,128,Melanoma,44,47,74,91
1324.jpg,128,128,Nail Fungal Infection,40,8,91,57
1125.jpg,128,128,Cold Sore,53,61,84,87
455.jpg,128,128,Carcinoma,55,50,86,91
159.jpg,128,128,Bacterial Infection,25,50,104,113
159.jpg,128,128,Bacterial Infection,16,11,35,38
159.jpg,128,128,Bacterial Infection,64,19,84,46
1867.jpg,128,128,Melanoma,21,39,88,98
1374.jpg,128,128,Herpes Virus,23,41,78,79
1374.jpg,128,128,Herpes Virus,27,97,66,119
1374.jpg,128,128,Herpes Virus,89,33,105,66
712.jpg,128,128,Carbuncle,45,35,118,93
2533.jpg,128,128,Wart,42,34,82,93
1090.jpg,128,128,Chickenpox,39,42,70,80
2415.jpg,128,128,Squamous Carcinoma,43,51,74,96
1291.jpg,128,128,Nail Fungal Infection,46,31,78,81
1705.jpg,128,128,Measles,13,7,110,121
678.jpg,128,128,Carbuncle,26,27,121,113
1214.jpg,128,128,Dystrophic Bullosa,16,36,40,60
1214.jpg,128,128,Dystrophic Bullosa,98,23,128,61
1214.jpg,128,128,Dystrophic Bullosa,88,90,124,104
1766.jpg,128,128,Measles,32,21,121,123
2534.jpg,128,128,Wart,11,21,118,107
945.jpg,128,128,Chickenpox,45,75,87,117
945.jpg,128,128,Chickenpox,48,9,68,21
1205.jpg,128,128,Dystrophic Bullosa,27,44,117,117
1022.jpg,128,128,Chickenpox,14,12,108,121
1778.jpg,128,128,Melanoma,30,5,110,116
285.jpg,128,128,Carcinoma,12,63,29,85
285.jpg,128,128,Carcinoma,73,48,88,61
285.jpg,128,128,Carcinoma,12,107,85,128
603.jpeg,128,128,Bowen,55,46,103,101
2005.jpg,128,128,Melanoma,60,49,81,87
1791.jpg,128,128,Melanoma,5,1,122,119
1716.jpg,128,128,Measles,57,4,119,121
988.jpg,128,128,Chickenpox,53,91,66,99
988.jpg,128,128,Chickenpox,114,32,127,46
2453.jpg,128,128,Squamous Carcinoma,17,32,117,96
1343.jpg,128,128,Herpes Virus,80,80,107,109
1904.jpg,128,128,Melanoma,27,46,77,109
1999.jpg,128,128,Melanoma,52,44,78,91
480.jpg,128,128,Carcinoma,55,55,72,87
1905.jpg,128,128,Melanoma,44,31,84,94
782.jpg,128,128,Cellulitis,16,57,95,98
364.jpg,128,128,Carcinoma,14,5,115,104
550.jpeg,128,128,Bowen,19,9,93,95
2032.jpg,128,128,Melanoma,20,33,65,84
1838.jpg,128,128,Melanoma,33,49,94,79
512.jpg,128,128,Carcinoma,45,50,86,88
1653.jpg,128,128,Keloids,51,57,97,86
1653.jpg,128,128,Keloids,39,6,68,45
1613.jpg,128,128,Keloids,25,32,59,55
1613.jpg,128,128,Keloids,27,79,75,108
1613.jpg,128,128,Keloids,62,18,77,30
1613.jpg,128,128,Keloids,20,5,58,14
1613.jpg,128,128,Keloids,1,38,19,62
789.jpg,128,128,Cellulitis,18,46,78,115
1627.jpg,128,128,Keloids,85,21,127,112
1627.jpg,128,128,Keloids,56,1,84,19
1627.jpg,128,128,Keloids,24,1,43,25
1855.jpg,128,128,Melanoma,89,16,116,63
1855.jpg,128,128,Melanoma,33,2,75,50
1855.jpg,128,128,Melanoma,24,78,34,95
1855.jpg,128,128,Melanoma,65,110,80,128
823.jpg,128,128,Cellulitis,12,48,30,79
1976.jpg,128,128,Melanoma,42,47,94,95
2121.jpg,128,128,Melanoma,52,50,83,96
402.jpg,128,128,Carcinoma,41,23,93,92
1516.jpg,128,128,Impetigo,49,27,88,75
2524.jpg,128,128,Wart,31,15,67,52
450.jpg,128,128,Carcinoma,74,59,96,77
1487.jpg,128,128,Hives,25,36,73,99
1487.jpg,128,128,Hives,94,22,120,91
1746.jpg,128,128,Measles,23,36,108,102
1746.jpg,128,128,Measles,46,10,79,34
1900.jpg,128,128,Melanoma,27,12,100,110
2547.jpg,128,128,Wart,60,25,84,55
2130.jpg,128,128,Melanoma,50,44,79,87
37.jpg,128,128,Actinic,7,8,123,123
2082.jpg,128,128,Melanoma,45,37,90,87
1612.jpg,128,128,Keloids,44,50,65,76
1612.jpg,128,128,Keloids,1,88,14,97
1950.jpg,128,128,Melanoma,38,21,91,116
2498.jpg,128,128,Wart,22,39,58,64
977.jpg,128,128,Chickenpox,8,16,100,82
3.jpg,128,128,Actinic,32,38,92,69
1035.jpg,128,128,Chickenpox,73,29,86,56
1035.jpg,128,128,Chickenpox,73,80,96,102
1250.jpg,128,128,Dystrophic Bullosa,33,18,102,98
1005.jpg,128,128,Chickenpox,6,103,23,126
1005.jpg,128,128,Chickenpox,72,88,86,106
1005.jpg,128,128,Chickenpox,102,25,114,32
1282.jpg,128,128,Nail Fungal Infection,49,9,99,39
27.jpg,128,128,Actinic,84,16,113,43
27.jpg,128,128,Actinic,48,6,67,24
27.jpg,128,128,Actinic,26,29,47,45
637.jpg,128,128,Carbuncle,87,92,113,122
637.jpg,128,128,Carbuncle,54,34,90,82
183.jpg,128,128,Carcinoma,32,44,82,86
684.jpg,128,128,Carbuncle,15,12,105,105
1122.jpg,128,128,Cold Sore,33,39,62,56
1054.jpg,128,128,Chickenpox,1,59,30,99
1054.jpg,128,128,Chickenpox,72,100,100,124
1054.jpg,128,128,Chickenpox,87,61,116,75
1054.jpg,128,128,Chickenpox,84,33,99,53
1054.jpg,128,128,Chickenpox,46,36,59,53
1054.jpg,128,128,Chickenpox,65,6,74,12
836.jpg,128,128,Cellulitis,10,19,122,72
1419.jpg,128,128,Hives,12,31,125,98
1171.jpg,128,128,Cold Sore,45,70,72,86
682.jpg,128,128,Carbuncle,14,17,90,121
2347.jpg,128,128,Pyoderma Gangrenosum,11,26,117,117
733.jpg,128,128,Cellulitis,21,34,33,44
103.jpg,128,128,Actinic,70,65,106,128
382.jpg,128,128,Carcinoma,48,36,87,93
1989.jpg,128,128,Melanoma,9,35,106,99
1345.jpg,128,128,Herpes Virus,12,59,37,95
1345.jpg,128,128,Herpes Virus,76,48,107,96
1365.jpg,128,128,Herpes Virus,56,49,101,95
1789.jpg,128,128,Melanoma,41,38,93,91
1590.jpg,128,128,Impetigo,30,65,82,91
1590.jpg,128,128,Impetigo,48,40,62,59
535.jpeg,128,128,Bowen,51,16,122,118
401.jpg,128,128,Carcinoma,50,47,66,72
2527.jpg,128,128,Wart,37,32,84,87
393.jpg,128,128,Carcinoma,64,30,97,66
812.jpg,128,128,Cellulitis,4,30,51,111
221.jpg,128,128,Carcinoma,50,19,77,100
1662.jpg,128,128,Keloids,13,26,123,96
1995.jpg,128,128,Melanoma,46,43,78,90
52.jpg,128,128,Actinic,55,46,87,69
1956.jpg,128,128,Melanoma,45,46,78,74
2241.jpg,128,128,Psoriasis,7,19,124,123
708.jpg,128,128,Carbuncle,50,51,88,86
1455.jpg,128,128,Hives,82,1,128,46
1455.jpg,128,128,Hives,1,41,25,65
1455.jpg,128,128,Hives,69,70,87,84
143.jpg,128,128,Bacterial Infection,46,12,112,101
778.jpg,128,128,Cellulitis,15,31,77,106
2375.jpg,128,128,Pyoderma Gangrenosum,20,26,67,71
2375.jpg,128,128,Pyoderma Gangrenosum,71,53,108,87
292.jpg,128,128,Carcinoma,61,24,111,100
2036.jpg,128,128,Melanoma,35,42,90,95
220.jpg,128,128,Carcinoma,72,41,101,91
1346.jpg,128,128,Herpes Virus,53,38,97,86
2322.jpg,128,128,Pyoderma Gangrenosum,22,15,39,34
2322.jpg,128,128,Pyoderma Gangrenosum,39,17,96,108
764.jpg,128,128,Cellulitis,38,31,91,91
391.jpg,128,128,Carcinoma,62,52,77,69
318.jpg,128,128,Carcinoma,42,40,91,99
2531.jpg,128,128,Wart,23,34,83,97
1679.jpg,128,128,Chickenpox,46,46,122,94
1679.jpg,128,128,Chickenpox,4,55,33,96
1679.jpg,128,128,Chickenpox,41,2,54,21
1679.jpg,128,128,Chickenpox,87,103,125,128
1679.jpg,128,128,Chickenpox,84,3,99,23
2151.jpg,128,128,Melanoma,76,53,122,102
2151.jpg,128,128,Melanoma,40,101,61,122
539.jpeg,128,128,Bowen,41,37,84,91
315.jpg,128,128,Carcinoma,24,6,123,114
743.jpg,128,128,Cellulitis,18,16,85,114
259.jpg,128,128,Carcinoma,37,39,94,77
752.jpg,128,128,Cellulitis,13,1,57,51
2203.jpg,128,128,Pemphigoid,28,80,62,123
2203.jpg,128,128,Pemphigoid,43,4,91,45
531.jpeg,128,128,Bowen,17,33,120,94
1375.jpg,128,128,Herpes Virus,29,9,68,54
851.jpg,128,128,Cellulitis,13,28,107,69
2086.jpg,128,128,Melanoma,30,40,86,100
2213.jpg,128,128,Pityriasis Rubra Pilaris,88,17,128,125
2213.jpg,128,128,Pityriasis Rubra Pilaris,1,104,52,121
2213.jpg,128,128,Pityriasis Rubra Pilaris,7,51,63,69
2213.jpg,128,128,Pityriasis Rubra Pilaris,35,4,83,31
2530.jpg,128,128,Wart,26,56,89,103
971.jpg,128,128,Chickenpox,58,53,67,66
971.jpg,128,128,Chickenpox,34,39,43,49
698.jpg,128,128,Carbuncle,38,21,64,55
67.jpg,128,128,Actinic,15,35,48,78
390.jpg,128,128,Carcinoma,48,46,81,80
1920.jpg,128,128,Melanoma,54,52,78,80
1479.jpg,128,128,Hives,11,37,52,86
1479.jpg,128,128,Hives,78,31,125,99
1429.jpg,128,128,Hives,66,46,97,91
1429.jpg,128,128,Hives,5,62,43,113
746.jpg,128,128,Cellulitis,65,20,121,53
1667.jpg,128,128,Keloids,22,10,97,99
1203.jpg,128,128,Dystrophic Bullosa,12,69,42,96
1203.jpg,128,128,Dystrophic Bullosa,88,71,128,94
1203.jpg,128,128,Dystrophic Bullosa,85,2,107,23
1203.jpg,128,128,Dystrophic Bullosa,24,29,46,52
1203.jpg,128,128,Dystrophic Bullosa,54,99,92,114
1026.jpg,128,128,Chickenpox,83,10,106,34
1026.jpg,128,128,Chickenpox,31,15,41,25
1714.jpg,128,128,Measles,3,27,128,106
2424.jpg,128,129,Squamous Carcinoma,34,18,106,105
1430.jpg,128,128,Hives,40,53,82,90
1796.jpg,128,128,Melanoma,54,45,91,89
1938.jpg,128,128,Melanoma,26,27,99,102
2238.jpg,128,128,Psoriasis,24,59,115,119
1542.jpg,128,128,Impetigo,26,46,81,93
728.jpg,128,128,Cellulitis,78,57,110,94
1227.jpg,128,128,Dystrophic Bullosa,13,21,122,93
946.jpg,128,128,Chickenpox,2,22,24,96
946.jpg,128,128,Chickenpox,36,54,92,111
946.jpg,128,128,Chickenpox,111,48,126,74
1217.jpg,128,128,Dystrophic Bullosa,32,13,91,83
1817.jpg,128,128,Melanoma,47,54,73,80
282.jpg,128,128,Carcinoma,88,77,101,94
452.jpg,128,128,Carcinoma,36,47,86,98
1308.jpg,128,128,Nail Fungal Infection,11,23,39,54
1308.jpg,128,128,Nail Fungal Infection,46,7,80,40
1308.jpg,128,128,Nail Fungal Infection,89,27,122,60
1974.jpg,128,128,Melanoma,51,39,74,81
1818.jpg,128,128,Melanoma,48,26,76,92
1352.jpg,128,128,Herpes Virus,61,55,105,97
647.jpg,128,128,Carbuncle,61,30,91,74
237.jpg,128,128,Carcinoma,53,51,75,82
440.jpg,128,128,Carcinoma,67,88,90,106
440.jpg,128,128,Carcinoma,102,94,114,110
2204.jpg,128,128,Pemphigoid,17,45,89,83
2204.jpg,128,128,Pemphigoid,99,22,121,62
190.jpg,128,128,Carcinoma,55,42,73,60
941.jpg,128,128,Chickenpox,47,15,75,47
941.jpg,128,128,Chickenpox,97,38,120,63
941.jpg,128,128,Chickenpox,10,13,19,26
1734.jpg,128,128,Measles,13,24,31,46
1734.jpg,128,128,Measles,54,75,67,91
1734.jpg,128,128,Measles,24,101,40,117
1734.jpg,128,128,Measles,75,61,84,71
1734.jpg,128,128,Measles,96,108,106,119
1734.jpg,128,128,Measles,106,88,111,92
1734.jpg,128,128,Measles,121,36,128,47
460.jpg,128,128,Carcinoma,13,16,119,76
1043.jpg,128,128,Chickenpox,14,57,103,127
1228.jpg,128,128,Dystrophic Bullosa,40,59,71,80
449.jpg,128,128,Carcinoma,30,20,111,101
883.jpg,128,128,Chickenpox,2,9,128,110
1078.jpg,128,128,Chickenpox,33,20,54,37
1078.jpg,128,128,Chickenpox,103,32,124,51
1078.jpg,128,128,Chickenpox,13,73,50,98
1078.jpg,128,128,Chickenpox,86,91,98,108
1078.jpg,128,128,Chickenpox,11,6,25,26
1078.jpg,128,128,Chickenpox,71,43,86,57
198.jpg,128,128,Carcinoma,36,25,82,90
487.jpg,128,128,Carcinoma,21,40,30,56
487.jpg,128,128,Carcinoma,92,34,119,60
2244.jpg,128,128,Psoriasis,18,14,115,116
1852.jpg,128,128,Melanoma,64,55,84,74
2561.jpg,128,128,Wart,59,69,77,88
1924.jpg,128,128,Melanoma,38,29,88,89
1342.jpg,128,128,Herpes Virus,21,53,52,74
1342.jpg,128,128,Herpes Virus,70,30,117,71
687.jpg,128,128,Carbuncle,39,61,72,91
1289.jpg,128,128,Nail Fungal Infection,22,22,68,46
1289.jpg,128,128,Nail Fungal Infection,77,4,103,23
239.jpg,128,128,Carcinoma,43,48,83,83
568.jpeg,128,128,Bowen,51,25,82,65
1425.jpg,128,128,Hives,14,30,118,121
101.jpg,128,128,Actinic,51,46,77,80
1672.jpg,128,128,Measles,65,70,77,82
1672.jpg,128,128,Measles,41,79,48,89
1672.jpg,128,128,Measles,1,28,9,36
1672.jpg,128,128,Measles,105,25,113,34
1672.jpg,128,128,Measles,95,104,104,111
884.jpg,128,128,Chickenpox,13,26,119,114
377.jpg,128,128,Carcinoma,51,49,81,70
852.jpg,128,128,Cellulitis,14,24,54,77
852.jpg,128,128,Cellulitis,83,42,109,89
268.jpg,128,128,Carcinoma,34,28,97,95
1695.jpg,128,128,Measles,10,10,84,93
257.jpg,128,128,Carcinoma,20,28,104,106
98.jpg,128,128,Actinic,29,1,103,106
1219.jpg,128,128,Dystrophic Bullosa,46,21,119,103
1585.jpg,128,128,Impetigo,22,23,54,107
1585.jpg,128,128,Impetigo,71,55,126,126
509.jpg,128,128,Carcinoma,41,62,63,84
2042.jpg,128,128,Melanoma,53,65,81,95
747.jpg,128,128,Cellulitis,78,55,105,74
71.jpg,128,128,Actinic,80,50,102,76
71.jpg,128,128,Actinic,31,59,48,81
2295.jpg,128,128,Psoriasis,59,54,113,99
2295.jpg,128,128,Psoriasis,23,14,69,48
1967.jpg,128,128,Melanoma,39,41,88,91
253.jpg,128,128,Carcinoma,53,46,70,63
394.jpg,128,128,Carcinoma,51,48,73,75
1768.jpg,128,128,Measles,10,17,67,100
1768.jpg,128,128,Measles,74,82,104,115
1768.jpg,128,128,Measles,107,31,126,65
1529.jpg,128,128,Impetigo,70,41,90,57
1529.jpg,128,128,Impetigo,29,26,45,45
1529.jpg,128,128,Impetigo,96,51,111,69
1529.jpg,128,128,Impetigo,45,105,64,121
1529.jpg,128,128,Impetigo,105,12,120,31
1261.jpg,128,128,Nail Fungal Infection,66,26,120,85
1152.jpg,128,128,Cold Sore,81,51,102,86
1651.jpg,128,128,Keloids,9,8,123,116
1016.jpg,128,128,Chickenpox,18,65,29,74
1016.jpg,128,128,Chickenpox,39,73,47,83
1016.jpg,128,128,Chickenpox,1,35,13,46
414.jpg,128,128,Carcinoma,49,64,81,91
2334.jpg,128,128,Pyoderma Gangrenosum,20,30,122,85
1550.jpg,128,128,Impetigo,10,37,69,100
1140.jpg,128,128,Cold Sore,50,62,94,76
1737.jpg,128,128,Measles,3,23,125,122
1202.jpg,128,128,Dystrophic Bullosa,33,50,53,71
1202.jpg,128,128,Dystrophic Bullosa,21,102,38,116
1202.jpg,128,128,Dystrophic Bullosa,27,9,52,41
1202.jpg,128,128,Dystrophic Bullosa,73,23,91,48
1202.jpg,128,128,Dystrophic Bullosa,98,38,113,50
1202.jpg,128,128,Dystrophic Bullosa,82,56,104,80
1202.jpg,128,128,Dystrophic Bullosa,72,85,90,102
1202.jpg,128,128,Dystrophic Bullosa,61,110,71,122
1678.jpg,128,128,Measles,44,22,125,112
859.jpg,128,128,Cellulitis,21,22,91,103
704.jpg,128,128,Carbuncle,36,23,97,103
9.jpg,128,128,Actinic,57,45,84,78
1774.jpg,128,128,Measles,72,54,121,108
1774.jpg,128,128,Measles,31,29,49,56
2321.jpg,128,128,Pyoderma Gangrenosum,8,12,109,100
787.jpg,128,128,Cellulitis,80,1,125,51
1113.jpg,128,128,Chickenpox,37,86,71,120
1113.jpg,128,128,Chickenpox,1,56,14,85
1113.jpg,128,128,Chickenpox,10,4,61,27
1113.jpg,128,128,Chickenpox,104,57,124,90
164.jpg,128,128,Bacterial Infection,83,42,114,81
164.jpg,128,128,Bacterial Infection,20,16,41,45
164.jpg,128,128,Bacterial Infection,30,101,50,123
2499.jpg,128,128,Wart,47,4,109,51
2452.jpg,128,128,Squamous Carcinoma,11,11,103,95
627.jpg,128,128,Carbuncle,61,62,89,89
542.jpeg,128,128,Bowen,42,38,73,96
1510.jpg,128,128,Impetigo,46,55,75,87
1510.jpg,128,128,Impetigo,3,51,12,62
1510.jpg,128,128,Impetigo,99,20,119,37
1481.jpg,128,128,Hives,97,59,117,101
1481.jpg,128,128,Hives,63,42,82,78
1481.jpg,128,128,Hives,16,95,39,112
1481.jpg,128,128,Hives,70,86,83,103
1481.jpg,128,128,Hives,5,8,14,24
1750.jpg,128,128,Measles,15,76,52,115
1750.jpg,128,128,Measles,92,75,124,118
1750.jpg,128,128,Measles,24,4,112,28
1750.jpg,128,128,Measles,59,28,82,65
1504.jpg,128,128,Impetigo,29,67,69,110
1602.jpg,128,128,Impetigo,50,14,114,83
1602.jpg,128,128,Impetigo,5,23,23,42
602.jpeg,128,128,Bowen,64,49,82,77
1075.jpg,128,128,Chickenpox,17,62,65,85
1075.jpg,128,128,Chickenpox,84,52,105,94
1075.jpg,128,128,Chickenpox,55,106,77,128
254.jpg,128,128,Carcinoma,14,18,117,114
1657.jpg,128,128,Keloids,22,21,101,99
2317.jpg,128,128,Pyoderma Gangrenosum,16,16,111,112
2442.jpg,128,128,Squamous Carcinoma,16,16,58,104
2170.jpg,128,128,Pemphigoid,62,51,91,69
2170.jpg,128,128,Pemphigoid,39,69,57,97
2170.jpg,128,128,Pemphigoid,41,5,65,47
2170.jpg,128,128,Pemphigoid,4,15,33,76
2170.jpg,128,128,Pemphigoid,114,67,125,87
2170.jpg,128,128,Pemphigoid,96,76,109,97
2170.jpg,128,128,Pemphigoid,84,103,123,121
1755.jpg,128,128,Measles,10,12,120,102
2232.jpg,128,128,Psoriasis,6,22,43,91
2232.jpg,128,128,Psoriasis,84,9,123,101
2114.jpg,128,128,Melanoma,58,47,70,58
2357.jpg,128,128,Pyoderma Gangrenosum,31,16,118,108
1794.jpg,128,128,Melanoma,22,17,100,108
2212.jpg,128,128,Pityriasis Rubra Pilaris,12,36,120,122
1729.jpg,128,128,Chickenpox,64,2,124,69
1729.jpg,128,128,Chickenpox,2,1,55,63
1729.jpg,128,128,Chickenpox,83,78,128,103
2172.jpg,128,128,Pemphigoid,14,9,56,81
2172.jpg,128,128,Pemphigoid,68,22,125,90
2172.jpg,128,128,Pemphigoid,37,93,54,124
894.jpg,128,128,Chickenpox,67,78,99,99
894.jpg,128,128,Chickenpox,22,55,48,94
2458.jpg,128,128,Squamous Carcinoma,40,21,113,95
636.jpg,128,128,Carbuncle,32,22,110,119
847.jpg,128,128,Cellulitis,24,5,103,68
847.jpg,128,128,Cellulitis,60,77,93,118
580.jpeg,128,128,Bowen,26,27,106,108
226.jpg,128,128,Carcinoma,37,34,93,95
68.jpg,128,128,Actinic,65,44,90,71
1943.jpg,128,128,Melanoma,22,10,102,118
1649.jpg,128,128,Keloids,33,9,124,112
1340.jpg,128,128,Herpes Virus,11,5,31,32
1340.jpg,128,128,Herpes Virus,38,40,87,128
1839.jpg,128,128,Melanoma,16,21,128,110
1386.jpg,128,128,Herpes Virus,81,10,122,81
